,Object-ID,SYS_CODE,LOC_NAME,BED_CODE,MAN_NAME,DES_TYPE,CAT_DES,BLD_CODE,ADDRESS,ST_CODE,LAT,LON,COM_DIST,COUN_DIS,CENSUS_TRACT,BOR_BLOCK,NTA,NTA_NAME,ADM_DIST,DBN_CODE,SCH_NAME,YEAR,TOT_ENRO,GRADE PK,GRADE K,GRADE 1,GRADE 2,GRADE 3,GRADE 4,GRADE 5,GRADE 6,GRADE 7,GRADE 8,GRADE 9,GRADE 10,GRADE 11,GRADE 12,NUM_POV,PERC_POV,ECON_IND
25,K028,1.63832173115448e-312,P.S. 028 The Warren Prep Academy,332000000000,DOE,General Academic,Elementary,K028,1001 HERKIMER STREET,NY,40.678238,-73.919847,303,41,30100,1.48984508310861e-314,BK79,Ocean Hill,COMMUNITY SCHOOL DISTRICT 16,16K028,P.S. 028 The Warren Prep Academy,2018-19,116,10,11,19,14,10,28,24,0,0,0,0,0,0,0,111,96%,93%
26,K029,1.63782766551358e-312,P.S. 029 John M. Harrigan,332000000000,DOE,General Academic,Elementary,K029,425 HENRY STREET,NY,40.686843,-73.997447,306,39,4500,1.48373348217637e-314,BK33,Carroll Gardens-Columbia Street-Red Hook,COMMUNITY SCHOOL DISTRICT 15,15K029,P.S. 029 John M. Harrigan,2018-19,950,38,147,180,139,160,138,148,0,0,0,0,0,0,0,127,13%,12%
27,K030,1.64029799374772e-312,P.S./I.S. 30 Mary White Ovington,332000000000,DOE,General Academic,K-8,K331,7002 4TH AVENUE,NY,40.633598,-74.023950,310,43,6800,1.5113023684354e-314,BK31,Bay Ridge,COMMUNITY SCHOOL DISTRICT 20,20K030,P.S./I.S. 30 Mary White Ovington,2018-19,994,0,82,103,104,98,111,115,120,132,129,0,0,0,0,785,79%,76%
28,K031,1.63733359987762e-312,P.S. 031 Samuel F. Dupont,331000000000,DOE,General Academic,Elementary,K031,75 MESEROLE AVENUE,NY,40.726970,-73.954139,301,33,56100,1.49501794152739e-314,BK76,Greenpoint,COMMUNITY SCHOOL DISTRICT 14,14K031,P.S. 031 Samuel F. Dupont,2018-19,619,90,88,93,95,98,84,71,0,0,0,0,0,0,0,446,72%,64%
29,K032,1.6378276655284e-312,P.S. 032 Samuel Mills Sprole,332000000000,DOE,General Academic,Elementary,K032,317 HOYT STREET,NY,40.680159,-73.991141,306,39,7500,1.48435600489013e-314,BK33,Carroll Gardens-Columbia Street-Red Hook,COMMUNITY SCHOOL DISTRICT 15,15K032,P.S. 032 Samuel Mills Sprole,2018-19,480,33,65,66,68,76,75,97,0,0,0,0,0,0,0,200,42%,42%
30,K034,1.63733359989244e-312,P.S. 034 Oliver H. Perry,331000000000,DOE,General Academic,Elementary,K034,131 NORMAN AVENUE,NY,40.726378,-73.949756,301,33,57300,1.49515135259154e-314,BK76,Greenpoint,COMMUNITY SCHOOL DISTRICT 14,14K034,P.S. 034 Oliver H. Perry,2018-19,471,54,66,68,71,78,67,67,0,0,0,0,0,0,0,125,27%,36%
31,K035,1.63832173118906e-312,M.S. 035 Stephen Decatur,332000000000,DOE,General Academic,Junior High-Intermediate-Middle,K035,272 MACDONOUGH STREET,NY,40.681528,-73.935891,303,36,27300,1.49046760186984e-314,BK35,Stuyvesant Heights,COMMUNITY SCHOOL DISTRICT 16,16K035,M.S. 035 Stephen Decatur,2018-19,225,0,0,0,0,0,0,0,60,73,92,0,0,0,0,199,88%,86%
32,K036,1.51925192536823e-312,P.S. 36,308000000000,DOE,Special Education,K-12 all grades,K857,2045 LINDEN BOULEVARD,NY,40.660465,-73.887195,305,42,110400,1.50357516987687e-314,BK82,East New York,CITYWIDE SPECIAL EDUCATION,75K036,P.S. 36,2018-19,387,7,58,42,58,30,31,28,26,21,22,36,11,1,16,346,89%,92%
33,K037,1.63733780432686e-312,Beginning with Children Charter School II,331000000000,Charter,General Academic,K-8,K071,215 HEYWARD STREET,NY,40.703996,-73.953304,301,33,52900,1.49319977995069e-314,BK72,Williamsburg,OFFICE OF CHARTER SCHOOLS,84K037,Beginning with Children Charter School II,2018-19,404,0,43,55,48,53,53,50,56,46,0,0,0,0,0,379,94%,84%
34,K038,1.63782766555804e-312,P.S. 038 The Pacific,332000000000,DOE,General Academic,Elementary,K038,450 PACIFIC STREET,NY,40.684945,-73.982826,302,33,3900,1.48314060340136e-314,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,COMMUNITY SCHOOL DISTRICT 15,15K038,P.S. 038 The Pacific,2018-19,613,96,84,78,97,83,84,91,0,0,0,0,0,0,0,293,48%,50%
