,LON,LAT,TOT_ENRO
652,40.826514,-73.947599,540
653,40.810499,-73.948902,287
654,40.797507,-73.935895,248
655,40.807019,-73.938714,250
656,40.770215,-73.950745,796
657,40.817719,-73.952476,806
658,40.795163,-73.96847,551
659,40.802653,-73.965949,426
660,40.788925,-73.972557,638
661,40.771541,-73.957827,1379
662,40.793649,-73.948488,477
663,40.780798,-73.955594,356
664,40.763655,-73.990318,458
665,40.792302,-73.951425,773
666,40.845459,-73.939785,483
667,40.735361,-73.987064,714
668,40.814388,-73.942706,347
669,40.770215,-73.950745,230
670,40.85924,-73.928301,284
671,40.80757,-73.955861,512
672,40.793363,-73.941955,314
673,40.763804,-73.957731,554
674,40.711125,-73.985438,678
675,40.798461,-73.950146,364
676,40.804559,-73.952751,491
677,40.856239,-73.93684,775
678,40.719888,-73.97738,407
679,40.853045,-73.928048,743
680,40.7722,-73.990902,565
681,40.82051,-73.952023,390
682,40.821208,-73.941111,193
683,40.813532,-73.938347,305
684,40.785018,-73.95042,488
685,40.777603,-73.984423,822
686,40.823988,-73.935746,384
687,40.719676,-73.991859,261
688,40.793098,-73.951367,333
689,40.796889,-73.930528,477
690,40.82051,-73.952023,295
691,40.830004,-73.944666,425
692,40.865556,-73.925464,414
693,40.761327,-73.988665,363
694,40.753598,-73.956435,617
695,40.816626,-73.951292,300
696,40.785107,-73.942154,185
697,40.765638,-73.959777,324
698,40.732665,-73.98259,298
699,40.71953,-74.01088,638
700,40.801573,-73.955583,133
701,40.806055,-73.948385,138
702,40.785234,-73.974256,241
703,40.780536,-73.977602,403
704,40.780536,-73.977602,220
705,40.795109,-73.973996,162
706,40.735328,-73.981536,394
707,40.791395,-73.971011,153
708,40.791395,-73.971011,239
709,40.736526,-73.992727,726
710,40.705688,-74.013303,279
711,40.85765,-73.935231,510
712,40.763883,-73.963861,414
713,40.706384,-74.017456,849
714,40.871673,-73.912339,551
715,40.801573,-73.955583,481
716,40.711441,-74.000851,416
717,40.744288,-73.972592,338
718,40.711441,-74.000851,390
719,40.811882,-73.947317,1144
720,40.807692,-73.939974,216
721,40.815747,-73.95552,125
722,40.765474,-73.9927,375
723,40.71701,-74.013967,284
724,40.775181,-73.952777,595
725,40.772608,-73.988338,432
726,40.713362,-73.986051,197
727,40.860951,-73.930082,608
728,40.717329,-73.989329,339
729,40.848864,-73.936073,301
730,40.765474,-73.9927,380
731,40.731006,-74.007192,561
732,40.716231,-73.993607,572
733,40.774891,-73.985608,341
734,40.765474,-73.9927,302
735,40.765474,-73.9927,372
736,40.817228,-73.947151,288
737,40.717329,-73.989329,324
738,40.774891,-73.985608,407
739,40.717329,-73.989329,290
740,40.784112,-73.945647,101
741,40.866381,-73.923818,404
742,40.742512,-74.002222,563
743,40.743407,-74.00254,245
744,40.866381,-73.923818,296
745,40.727537,-73.978254,333
746,40.705688,-74.013303,179
747,40.825831,-73.937833,210
748,40.839139,-73.935815,385
749,40.718121,-73.984116,241
750,40.860951,-73.930082,400
751,40.839139,-73.935815,340
752,40.836982,-73.937263,210
753,40.798461,-73.950146,429
754,40.719888,-73.97738,647
755,40.713362,-73.986051,209
756,40.791395,-73.971011,757
757,40.780536,-73.977602,522
758,40.799265,-73.93374,699
759,40.819793,-73.956814,1119
760,40.785559,-73.940919,39
761,40.836982,-73.937263,139
762,40.739145,-73.995534,339
763,40.807019,-73.938714,1042
764,40.708774,-74.002407,468
765,40.833695,-73.942074,713
766,40.738374,-73.981329,193
767,40.849311,-73.930991,864
768,40.845459,-73.939785,129
769,40.813532,-73.938347,708
770,40.802649,-73.948088,1208
771,40.82884,-73.945368,787
772,40.816158,-73.95357,227
773,40.758759,-73.996499,228
774,40.727537,-73.978254,320
775,40.810793,-73.955722,718
776,40.72444,-73.986214,306
777,40.72313,-73.981597,350
778,40.865575,-73.921631,589
779,40.826514,-73.947599,149
780,40.815747,-73.95552,387
781,40.792556,-73.942285,569
782,40.853517,-73.932869,164
783,40.735361,-73.987064,468
784,40.796098,-73.944546,313
785,40.72463,-74.005058,466
786,40.797507,-73.935895,168
787,40.72004,-73.986038,250
788,40.789174,-73.945101,728
789,40.805653,-73.935461,702
790,40.785107,-73.942154,1108
791,40.801573,-73.955583,418
792,40.814917,-73.945838,301
793,40.743407,-74.00254,414
794,40.763655,-73.990318,429
795,40.716231,-73.993607,315
796,40.711321,-74.005473,560
797,40.735361,-73.987064,302
798,40.767848,-73.98861,1146
799,40.831829,-73.827642,103
800,40.786134,-73.974483,304
801,40.786134,-73.974483,414
802,40.786134,-73.974483,184
803,40.732665,-73.98259,486
804,40.761327,-73.988665,558
805,40.741888,-73.985723,475
806,40.742512,-74.002222,471
807,40.739121,-73.985323,749
808,40.742512,-74.002222,449
809,40.80261,-73.954152,313
810,40.770288,-73.953276,530
811,40.786134,-73.974483,413
812,40.704697,-74.011202,681
813,40.743407,-74.00254,330
814,40.732665,-73.98259,1825
815,40.799098,-73.965611,204
816,40.743407,-74.00254,545
817,40.865556,-73.925464,182
818,40.708971,-74.012465,473
819,40.74651,-73.98107,233
820,40.856532,-73.92606,843
821,40.74651,-73.98107,304
822,40.785107,-73.942154,444
823,40.794184,-73.932868,1650
824,40.743407,-74.00254,476
825,40.735361,-73.987064,356
826,40.741963,-73.991966,452
827,40.738521,-73.989481,142
828,40.712269,-73.984128,483
829,40.765638,-73.959777,427
830,40.729152,-73.982472,680
831,40.771603,-73.987515,376
832,40.722415,-73.990468,194
833,40.765638,-73.959777,313
834,40.856532,-73.92606,427
835,40.856532,-73.92606,396
836,40.856532,-73.92606,481
837,40.856532,-73.92606,423
838,40.718025,-74.013921,3316
839,40.868831,-73.920841,915
840,40.760858,-73.996262,1423
841,40.814598,-73.945,1036
842,40.820216,-73.944551,753
843,40.807537,-73.954228,305
844,40.774202,-73.985976,2760
845,40.70927,-74.012328,741
846,40.774891,-73.985608,429
847,40.774891,-73.985608,492
848,40.790191,-73.944092,389
849,40.793649,-73.948488,189
850,40.823988,-73.935746,1257
851,40.74651,-73.98107,278
852,40.831829,-73.827642,63
853,40.797136,-73.966779,454
854,40.763655,-73.990318,456
855,40.72004,-73.986038,127
856,40.841032,-73.938701,210
857,40.819793,-73.956814,142
858,40.72004,-73.986038,543
859,40.812428,-73.953317,311
860,40.79001,-73.942482,604
861,40.765638,-73.959777,518
862,40.711441,-74.000851,182
