BLD_CODE,SCH_NAME,TYPE,TOTAL_BUDGET,NOR_DATA
K240,I.S. 240 - BROOKLYN,OTHER,381616,257
K240,I.S. 381 - BROOKLYN,OTHER,76000,51
K241,P.S. 241 - BROOKLYN,OTHER,953337,641
K242,OLYMPUS ACADEMY - BROOKLYN,OTHER,26315,18
K242,P.S. 235 - BROOKLYN,OTHER,432147,291
K244,BROOKLYN SCIENCE AND ENGINEERI,OTHER,110166,74
K244,P.S. 244 - BROOKLYN,OTHER,1231609,828
K246,I.S. 246 - BROOKLYN,FLOOD,5818764,3913
K246,I.S. 246 - BROOKLYN,OTHER,1413879,951
K247,P.S. 247 - BROOKLYN,OTHER,2109286,1418
K249,P.S. 249 - BROOKLYN,OTHER,9411728,6329
K250,P.S. 250 - BROOKLYN,OTHER,619535,417
K251,P.S. 251 - BROOKLYN,OTHER,5824609,3917
K252,I.S. 252,OTHER,25038,17
K252,MIDDLE SCHOOL FOR ART & PHILOS,OTHER,1104137,743
K252,MIDDLE SCHOOL FOR ART & PHILOS,ROOF,12298728,8271
K255,P.S. 255 - BROOKLYN,OTHER,277669,187
K255,P.S. 255 - BROOKLYN,ROOF,16825852,11315
K256,P.S. 256 - BROOKLYN,OTHER,137000,92
K257,P.S. 257 - BROOKLYN,OTHER,296774,200
K258,K140 SPED - BROOKLYN,OTHER,251345,169
K259,I.S. 259 - BROOKLYN,OTHER,8451930,5684
K261,P.S. 261 - BROOKLYN,OTHER,295079,198
K262,P.S. 262 - BROOKLYN,OTHER,761197,512
K263,M.S. 671 - BROOKLYN,OTHER,135618,91
K263,P.S./I.S. 323 - BROOKLYN,OTHER,2437612,1639
K264,P.S. 264 - BROOKLYN,OTHER,35000,24
K265,I.S. 265 - BROOKLYN,OTHER,1276792,859
K265,I.S. 265 -BROOKLYN,OTHER,6500098,4371
K268,P.S. 268 - BROOKLYN,OTHER,1612581,1084
K269,COMMUNITY BASED ORGANIZATION -,OTHER,121435,82
K269,P.S. 361 - BROOKLYN,OTHER,41000,28
K270,COMMUNITY PARTNERSHIP CHARTER,OTHER,147000,99
K270,P.S. 270 - BROOKLYN,OTHER,130001,87
K271,EAGLE ACAD YOUNG MEN AT OCEAN,OTHER,783710,527
K271,I.S. 522 - BROOKLYN,OTHER,9816016,6601
K273,P.S. 273 - BROOKLYN,OTHER,475142,320
K274,P.S. 274 - BROOKLYN,OTHER,5894839,3964
K275,I.S. 518 - BROOKLYN,OTHER,637387,429
K280,EDUCATIONAL CAMPUS @ 500 19TH,OTHER,21542579,14487
K280,I.S. 442 - BROOKLYN,OTHER,94037,63
