BLD_CODE,SCH_NAME,TYPE,TOTAL_BUDGET
K500,HS FOR INNOVATION IN AD - BKLY,OTHER,564893
K500,HS FOR MEDICAL PROFESSIONS - K,FLOOD,10729817
K505,FRANKLIN D. ROOSEVELT HS - K,OTHER,642626
K525,EDWARD R. MURROW HS - K,OTHER,1393675
K525,MURROW H.S.,OTHER,2133833
K555,BROOKLYN COLLEGE ACADEMY - K,OTHER,216000
K557,P.S. @ 4302 4TH AVE - BROOKLYN,NEW SCHOOL,66279759
K557,P.S. @ 4302 4TH AVE - BROOKLYN,OTHER,19035591
K564,SUNSET PARK HS - BROOKLYN,OTHER,923372
K580,CITY POLYTECHNIC HIGH SCHOOL O,OTHER,51778
K580,GEORGE WESTINGHOUSE VOC. HS,OTHER,978069
K590,MEDGAR EVERS COLLEGE PREPARATO,OTHER,635000
K599,EAST NY FAMILY ACADEMY - K,NEW SCHOOL,83586925
