BLD_CODE,SCH_NAME,TYPE,TOTAL_BUDGET,NOR_DATA
Q225,I.S. 318 - QUEENS,OTHER,109175,557
Q225,P.S. 317 - QUEENS,OTHER,278835,1423
Q225,P.S. 317 - QUEENS,SANDY,10262312,52359
Q232,P.S. 232 - QUEENS,OTHER,17554660,89565
Q242,P.S. 242 - QUEENS,OTHER,1461220,7455
Q269,ELM TREE ELEMENTARY SCHOOL,OTHER,439727,2244
Q269,P.S. 143 - QUEENS,OTHER,541593,2763
Q404,ACAD FOR CAREERS IN TV AND FIL,OTHER,35000,179
Q404,HUNTERS POINT COMMUNITY MIDDLE,OTHER,35000,179
Q410,BEACH CHANNEL HS - QUEENS,OTHER,258118,1317
Q410,CHANNEL VIEW SCL FOR RESEARCH,OTHER,1831077,9342
Q410,ROCKAWAY COLLEGIATE HIGH SCHL,OTHER,775837,3958
Q410,ROCKAWAY COLLEGIATE HIGH SCHOO,OTHER,1647035,8403
Q410,ROCKAWAY PARK HS FOR ENVIRONME,OTHER,104211,532
Q452,LONG ISLAND CITY H.S.,OTHER,23065793,117683
Q452,LONG ISLAND CITY HS - Q,FLOOD,17972542,91697
Q452,LONG ISLAND CITY HS - Q,OTHER,3238432,16523
Q452,Q993 SPED - QUEENS,OTHER,50000,255
Q465,ACAD. OF MEDICAL TECHNOLOGY -,OTHER,105000,536
Q465,FAR ROCKAWAY HS,OTHER,269964,1377
Q465,FREDERICK DOUGLASS ACAD VI HS,ROOF,23977124,122332
Q465,FREDERICK DOUGLASS ACADEMY VI,OTHER,727182,3710
Q465,M.S. 282 - QUEENS,OTHER,3731377,19038
R002,I.S. 2 - STATEN ISLAND,OTHER,1705685,8702
R038,P.S. 38 - STATEN ISLAND,OTHER,762891,3892
R050,P.S. 50 - STATEN ISLAND,OTHER,750628,3830
R052,P.S. 52 - STATEN ISLAND,OTHER,873793,4458
X037,P.S. 37 - BRONX,FLOOD,774883,3953
X037,P.S. 37 - BRONX,OTHER,90000,459
X174,ARCHIMEDES ACADEMY FOR MATH  -,OTHER,100000,510
X174,BRONX MATH PREP - BRONX,FLOOD,8209584,41886
X174,BRONX MATH PREP - BRONX,OTHER,808913,4127
X174,WOMEN'S ACADEMY OF EXCELLENCE,OTHER,153825,785
X175,P.S. 175 - BRONX,OTHER,100000,510
X183,THE URBAN ASSEMBLY BRONX ACAD,FLOOD,8374377,42726
X229,I.S. 229 - BRONX,OTHER,2861022,14597
X368,M.S./H.S. 368 - BRONX,OTHER,316856,1617
X405,BRONX RIVER HIGH SCHOOL,OTHER,100000,510
X405,HERBERT H. LEHMAN HS - X,OTHER,8923165,45526
X405,HERBERT H. LEHMAN HS - X,ROOF,28546923,145648
X405,LEHMAN HS,OTHER,812303,4144
X405,PELHAM LAB HIGH SCHOOL,OTHER,175427,895
X405,RENAISSANCE HS FOR MUS THEATRE,OTHER,100000,510
X405,SCHUYLERVILLE PREPARATORY HIGH,OTHER,174431,890
X405,WESTCHESTER SQUARE ACADEMY - B,OTHER,100000,510
X475,BRONX SCHOOL OF LAW & FINANCE,OTHER,100000,510
X475,BRONX THEATRE HS - BRONX,OTHER,500,3
X475,ELLIS PREPARATORY ACADEMY-X,OTHER,100000,510
X475,JOHN F. KENNEDY HS - BRONX,FLOOD,12148562,61982
X475,MARBLE HILL INTERNATIONAL HS -,OTHER,74191,379
X722,X721 SPED - BRONX,FLOOD,10772211,54960
X722,X721 SPED - BRONX,OTHER,354570,1809
X972,BRONX ARENA HIGH SCHOOL - BRON,OTHER,10664,54
