BLD_CODE,LAT,LON,FLOOD_2020,FLOOD_2050,Sum of TOT_ENRO,NEW SCHOOLS,OTHER,FLOOD,PENETRATION,ROOF,SANDY,MIT_BUDGET,TOT_BUDGET
K540,40.58807,-73.981925,0,1,2203,0,7480842,0,0,28968310,0,28968310,36449152
K554,40.697378,-73.913172,0,0,430,0,0,0,0,0,0,0,0
K564,40.655583,-74.004342,0,0,1216,0,923372,0,0,0,0,0,923372
K580,40.695444,-73.986105,0,0,1202,0,1029847,0,0,0,0,0,1029847
K590,40.66679,-73.951823,0,0,1332,0,635000,0,0,0,0,0,635000
K600,40.669805,-73.960689,0,0,1200,0,306681,0,0,0,0,0,306681
K610,40.721448,-73.953328,0,1,329,0,1538554,33463411,0,0,0,33463411,35001965
K611,40.702952,-73.992076,1,1,277,0,345400,0,0,0,0,0,345400
K615,40.67878,-73.875328,0,0,676,0,507293,0,0,0,0,0,507293
K620,40.583263,-73.963764,1,1,412,0,4495286,0,0,0,0,0,4495286
