BLD_CODE,LAT,LON,FLOOD_2020,FLOOD_2050,Sum of TOT_ENRO,NEW SCHOOLS,OTHER,FLOOD,PENETRATION,ROOF,SANDY,MIT_BUDGET,value,id_OTHER,id_FLOOD,id_PENETRATION,id_ROOF,id_SANDY
K124,40.667464,-73.99062,0,0,305,0,666903,4400048,0,0,0,4400048,5066951,1,1,0,0,0
K126,40.719818,-73.947932,0,0,758,0,2095110,0,0,0,0,0,2095110,1,0,0,0,0
K127,40.623687,-74.018429,0,0,508,0,75709819,0,0,4107147,0,4107147,79816966,1,0,0,1,0
K128,40.60498,-73.995084,0,0,465,0,2460063,0,0,0,0,0,2460063,1,0,0,0,0
K130,40.648924,-73.976053,0,0,831,0,1159356,0,0,14700502,0,14700502,15859858,1,0,0,1,0
K131,40.640728,-73.993247,0,0,938,0,401442,15509395,0,0,0,15509395,15910837,1,1,0,0,0
K132,40.714772,-73.945663,0,0,755,0,665715,0,0,0,0,0,665715,1,0,0,0,0
K135,40.653093,-73.932949,0,0,515,0,291000,0,0,8762063,0,8762063,9053063,1,0,0,1,0
K136,40.652127,-74.007596,0,0,1039,0,8877001,13289710,0,0,0,13289710,22166711,1,1,0,0,0
K137,40.682248,-73.916641,0,0,289,0,353560,0,0,0,0,0,353560,1,0,0,0,0
K138,40.673943,-73.951559,0,0,1158,0,181829,10526802,0,0,0,10526802,10708631,1,1,0,0,0
K139,40.64134,-73.965862,0,0,949,0,1813978,0,0,0,0,0,1813978,1,0,0,0,0
K142,40.679462,-74.002022,0,0,1378,0,5636096,0,0,2647833,0,2647833,8283929,1,0,0,1,0
K145,40.701107,-73.932388,0,0,515,0,283298,0,0,3613321,0,3613321,3896619,1,0,0,1,0
K147,40.705005,-73.93879,0,0,742,0,8517182,0,0,9262920,0,9262920,17780102,1,0,0,1,0
K148,40.699214,-73.945211,0,0,454,0,165945,0,0,0,0,0,165945,1,0,0,0,0
K149,40.669361,-73.89276,0,0,638,0,125000,0,0,0,0,0,125000,1,0,0,0,0
K150,40.668768,-73.90514,0,0,544,0,815578,5729946,0,0,0,5729946,6545524,1,1,0,0,0
K151,40.693432,-73.908242,0,0,294,0,1004057,0,0,0,0,0,1004057,1,0,0,0,0
K152,40.632619,-73.954269,0,0,1305,0,3023881,0,0,0,0,0,3023881,1,0,0,0,0
K153,40.601179,-73.960027,0,0,547,0,173716,0,0,0,0,0,173716,1,0,0,0,0
K154,40.657002,-73.975967,0,0,552,0,1412177,0,0,0,0,0,1412177,1,0,0,0,0
K155,40.677634,-73.908682,0,0,442,0,7512342,0,0,2662831,0,2662831,10175173,1,0,0,1,0
K157,40.695397,-73.959999,0,0,417,0,318910,0,0,0,0,0,318910,1,0,0,0,0
K158,40.67259,-73.885214,0,0,517,0,1818395,18100428,0,0,0,18100428,19918823,1,1,0,0,0
K159,40.676111,-73.869705,0,0,749,0,618396,0,0,0,0,0,618396,1,0,0,0,0
K160,40.636932,-73.999045,0,0,1276,0,691281,0,0,0,0,0,691281,1,0,0,0,0
K161,40.665757,-73.949243,0,0,997,0,668075,3238118,0,0,0,3238118,3906193,1,1,0,0,0
K162,40.706816,-73.919643,0,0,322,0,2406629,19402206,0,0,0,19402206,21808835,1,1,0,0,0
K163,40.606739,-74.007469,0,0,531,0,2338111,0,0,0,0,0,2338111,1,0,0,0,0
K164,40.637101,-73.985739,0,0,682,0,447699,0,0,7773830,0,7773830,8221529,1,0,0,1,0
K165,40.657061,-73.910938,0,0,290,0,1036751,0,0,0,0,0,1036751,1,0,0,0,0
K166,40.659934,-73.885704,0,0,1096,0,574832,0,0,0,0,0,574832,1,0,0,0,0
K167,40.669557,-73.934316,0,0,449,0,386706,0,0,11163796,0,11163796,11550502,1,0,0,1,0
K169,40.645825,-74.0017,0,0,1397,0,13173554,0,0,0,0,0,13173554,1,0,0,0,0
K170,40.630373,-74.018719,0,0,1014,0,9355875,0,0,0,0,0,9355875,1,0,0,0,0
K171,40.685852,-73.869434,0,0,762,0,1605438,0,0,0,0,0,1605438,1,0,0,0,0
K172,40.657682,-74.000191,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0
K174,40.665446,-73.897604,0,0,487,0,1755322,0,0,0,0,0,1755322,1,0,0,0,0
K175,40.665568,-73.912102,0,0,358,0,129994,0,0,0,0,0,129994,1,0,0,0,0
K176,40.624835,-74.005205,0,0,1293,0,439812,0,0,0,0,0,439812,1,0,0,0,0
K177,40.608169,-73.974425,0,0,985,0,3363532,0,0,0,0,0,3363532,1,0,0,0,0
K178,40.67538,-73.915337,0,0,338,0,336274,8186087,0,0,0,8186087,8522361,1,1,0,0,0
K179,40.640127,-73.97726,0,0,817,0,35000,0,0,0,0,0,35000,1,0,0,0,0
K180,40.626454,-73.98925,0,0,1428,0,260819,0,0,0,0,0,260819,1,0,0,0,0
K181,40.648217,-73.945883,0,0,644,0,41000,1905000,0,0,0,1905000,1946000,1,1,0,0,0
K183,40.659618,-73.913508,0,0,523,0,1220374,0,0,0,0,0,1220374,1,0,0,0,0
K184,40.660385,-73.905004,0,0,533,0,2896477,0,0,8897924,0,8897924,11794401,1,0,0,1,0
K185,40.623598,-74.033429,0,0,634,0,915046,0,0,0,0,0,915046,1,0,0,0,0
K186,40.610917,-73.994258,0,0,1061,0,215349,0,0,0,0,0,215349,1,0,0,0,0
K188,40.576733,-74.000489,1,1,390,0,0,0,0,0,0,0,0,0,0,0,0,0
K189,40.665228,-73.925435,0,0,1060,0,62000,0,0,0,0,0,62000,1,0,0,0,0
K190,40.662243,-73.894877,0,0,218,0,500,0,0,0,0,0,500,1,0,0,0,0
K191,40.67173,-73.924127,0,0,164,0,2615695,0,0,4710161,0,4710161,7325856,1,0,0,1,0
K192,40.6288,-73.97954,0,0,642,0,50000,0,0,0,0,0,50000,1,0,0,0,0
K193,40.62208,-73.950321,0,0,703,0,1286564,0,0,0,0,0,1286564,1,0,0,0,0
K194,40.598069,-73.934163,1,1,557,0,572008,0,0,0,0,0,572008,1,0,0,0,0
K195,40.580161,-73.943498,1,1,484,0,298757,0,0,0,0,0,298757,1,0,0,0,0
K196,40.708804,-73.939385,0,0,621,0,939833,0,0,7753225,0,7753225,8693058,1,0,0,1,0
K197,40.612339,-73.951398,0,0,769,0,1078368,13606031,0,0,0,13606031,14684399,1,1,0,0,0
K198,40.637601,-73.937083,0,0,408,0,127720,0,0,0,0,0,127720,1,0,0,0,0
K199,40.61631,-73.963026,0,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0
K200,40.602809,-74.001915,0,0,1351,0,323128,0,0,9008887,0,9008887,9332015,1,0,0,1,0
K201,40.619043,-74.013749,0,0,1651,0,1041798,0,0,0,0,0,1041798,1,0,0,0,0
K202,40.665817,-73.876084,0,0,988,0,6419560,0,0,0,0,0,6419560,1,0,0,0,0
K203,40.622108,-73.925732,0,0,675,0,514807,0,0,0,0,0,514807,1,0,0,0,0
K204,40.613535,-74.006137,0,0,1111,0,112241,0,0,0,0,0,112241,1,0,0,0,0
K205,40.614737,-73.986792,0,0,1304,0,87611,6249265,0,0,0,6249265,6336876,1,1,0,0,0
K206,40.596876,-73.948453,0,0,1518,0,318477,0,0,0,0,0,318477,1,0,0,0,0
K207,40.613981,-73.930485,0,1,1159,0,1181842,0,0,0,0,0,1181842,1,0,0,0,0
K208,40.6427,-73.930898,0,0,359,0,1011922,0,0,0,0,0,1011922,1,0,0,0,0
K209,40.5868,-73.961191,1,1,706,0,362670,0,0,0,0,0,362670,1,0,0,0,0
K210,40.67271,-73.928917,0,0,895,0,787904,0,1216807,0,0,1216807,2004711,1,0,1,0,0
K211,40.642931,-73.895224,1,1,436,0,531687,0,0,0,0,0,531687,1,0,0,0,0
K212,40.587612,-73.985368,1,1,720,0,899607,0,0,14308715,0,14308715,15208322,1,0,0,1,0
K213,40.659845,-73.889968,0,0,263,0,8252088,0,0,0,0,0,8252088,1,0,0,0,0
K214,40.675881,-73.862961,0,0,875,0,65186,0,0,0,0,0,65186,1,0,0,0,0
K215,40.602722,-73.970171,0,0,838,0,4551301,0,0,0,0,0,4551301,1,0,0,0,0
K216,40.59,-73.969647,0,1,745,0,1191933,0,0,0,0,0,1191933,1,0,0,0,0
K217,40.633482,-73.966442,0,0,1141,0,545292,12177075,0,0,0,12177075,12722367,1,1,0,0,0
K218,40.67002,-73.874537,0,0,698,0,6895804,0,3867813,7580390,0,11448203,18344007,1,0,1,1,0
K219,40.658834,-73.922296,0,0,427,0,762923,0,0,20054748,0,20054748,20817671,1,0,0,1,0
K220,40.640997,-74.00125,0,0,1521,0,410639,0,0,0,0,0,410639,1,0,0,0,0
K221,40.663964,-73.935753,0,0,263,0,125262,0,0,0,0,0,125262,1,0,0,0,0
K222,40.614005,-73.939205,0,0,888,0,2107848,0,0,0,0,0,2107848,1,0,0,0,0
K223,40.6351,-73.982424,0,0,1488,0,2089702,6636620,0,0,0,6636620,8726322,1,1,0,0,0
K224,40.664143,-73.866542,0,0,395,0,225000,0,0,0,0,0,225000,1,0,0,0,0
K225,40.58026,-73.955856,1,1,1429,0,364150,0,0,0,0,0,364150,1,0,0,0,0
K226,40.615405,-73.977099,0,0,1022,0,995425,0,0,0,0,0,995425,1,0,0,0,0
K227,40.622102,-73.995961,0,0,1614,0,672643,0,0,6973909,0,6973909,7646552,1,0,0,1,0
K228,40.60066,-73.976801,0,0,1413,0,339430,0,0,0,0,0,339430,1,0,0,0,0
K229,40.610331,-74.013585,0,0,1252,0,75000,17763979,0,0,0,17763979,17838979,1,1,0,0,0
K230,40.645609,-73.980515,0,0,1111,0,2177238,0,0,14392943,0,14392943,16570181,1,0,0,1,0
