X174,BRONX MATH PREP - BRONX,OTHER,808913
X174,WOMEN'S ACADEMY OF EXCELLENCE,OTHER,153825
X175,P.S. 175 - BRONX,OTHER,100000
X183,THE URBAN ASSEMBLY BRONX ACAD,FLOOD,8374377
X229,I.S. 229 - BRONX,OTHER,2861022
X368,M.S./H.S. 368 - BRONX,OTHER,316856
X405,BRONX RIVER HIGH SCHOOL,OTHER,100000
X405,HERBERT H. LEHMAN HS - X,OTHER,8923165
X405,HERBERT H. LEHMAN HS - X,ROOF,28546923
X405,LEHMAN HS,OTHER,812303
X405,PELHAM LAB HIGH SCHOOL,OTHER,175427
X405,RENAISSANCE HS FOR MUS THEATRE,OTHER,100000
X405,SCHUYLERVILLE PREPARATORY HIGH,OTHER,174431
X405,WESTCHESTER SQUARE ACADEMY - B,OTHER,100000
X475,BRONX SCHOOL OF LAW & FINANCE,OTHER,100000
X475,BRONX THEATRE HS - BRONX,OTHER,500
X475,ELLIS PREPARATORY ACADEMY-X,OTHER,100000
X475,JOHN F. KENNEDY HS - BRONX,FLOOD,12148562
X475,MARBLE HILL INTERNATIONAL HS -,OTHER,74191
X722,X721 SPED - BRONX,FLOOD,10772211
X722,X721 SPED - BRONX,OTHER,354570
X972,BRONX ARENA HIGH SCHOOL - BRON,OTHER,10664
